timestamp,symbol,mode,signal,action_taken,price_reference,quantity,cash_estimated,position_qty,equity_estimated,status,notes
2026-03-24T14:30:18.245679+00:00,BTCUSDT,dry-run,hold,hold,0.00000000,0,0,0,0,error,error:Missing BINANCE_API_KEY or BINANCE_API_SECRET environment variables.
2026-03-24T14:45:37.842157+00:00,BTCUSDT,dry-run,sell,hold,69715.11000000,0,0,0,0,error,"error:Binance signed API error (403) on /api/v3/account: <!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: fyKtFLm2tAyTw9eoeVQBY60vrgxZEECJ_djn0FyQn_GC_XR93uXx7Q==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
2026-03-24T15:05:27.720062+00:00,BTCUSDT,dry-run,sell,hold,70019.01000000,0,0,0,0,error,"error:Binance signed API error (403) on /api/v3/account: <!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: B0l6A00Q5639zk2kJhlZCwvdedDqskDmIhYKoiB1jkVeYAjHdtWvvA==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
2026-03-24T15:26:15.080784+00:00,BTCUSDT,dry-run,sell,hold,70238.35000000,0,0,0,0,error,"error:Binance signed API error (403) on /api/v3/account: <!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: 1iClvx08S4jzVZ-eUANbkGoZQzQQ0O-V5QsgPnla7qVO684LoaCXmQ==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
2026-03-24T15:43:42.998357+00:00,BTCUSDT,dry-run,sell,hold,70032.49000000,0,0,0,0,error,"error:Binance signed API error (403) on /api/v3/account: <!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: ErU47heGVZulZvFXv0ZIpYGMNhdbVQpR5Xuw2HbBGkewN5v_OZksuA==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
2026-03-24T17:35:58.304731+00:00,BTCUSDT,dry-run,sell,hold,69128.83000000,0,0,0,0,error,"error:Binance signed API error (403) on /api/v3/account: <!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: aIT1KB_XVJg0qzCDuJysSEVXoGjJ-9xQDOnrkQuDhAwnPe-B1gaDWw==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
2026-03-24T19:50:05.939630+00:00,BTCUSDT,dry-run,sell,hold,69304.41000000,0,0,0,0,error,"error:Binance signed API error (403) on /api/v3/account: <!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: ZaF5YL_bILDvwznw6OkOxEegArx28WdG7ysusrD62H1Joff-OBnP9g==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
2026-03-28T00:07:37.515105+00:00,BTCUSDT,dry-run,sell,hold,66429.08000000,0,0,0,0,error,"error:Binance signed API error (403) on /api/v3/account: <!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd"">
<HTML><HEAD><META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1"">
<TITLE>ERROR: The request could not be satisfied</TITLE>
</HEAD><BODY>
<H1>403 ERROR</H1>
<H2>The request could not be satisfied.</H2>
<HR noshade size=""1px"">
Bad request.
We can't connect to the server for this app or website at this time. There might be too much traffic or a configuration error. Try again later, or contact the app or website owner.
<BR clear=""all"">
If you provide content to customers through CloudFront, you can find steps to troubleshoot and help prevent this error by reviewing the CloudFront documentation.
<BR clear=""all"">
<HR noshade size=""1px"">
<PRE>
Generated by cloudfront (CloudFront)
Request ID: GxdIFDtObEy5mVpwOCMgBKruVq_54ImoblFU9dXLx9Oa4hEM55K24Q==
</PRE>
<ADDRESS>
</ADDRESS>
</BODY></HTML>"
2026-03-28T01:09:39.597858+00:00,BTCUSDT,dry-run,sell,hold,66305.92000000,0,0,0,0,error,error:[<class 'decimal.DivisionUndefined'>]
2026-03-28T22:23:26.912136+00:00,BTCUSDT,dry-run,hold,hold,66769.44000000,0,0,0,0,error,error:[<class 'decimal.DivisionUndefined'>]
2026-03-28T22:56:04.485240+00:00,BTCUSDT,dry-run,hold,hold,66745.25000000,0,0,0,0,kill_switch,kill_switch_active
